Franchise	No_of_Movies	Domestic_Box_Office	Infl_Adj_Dom_Box_Office	Worldwide_Box_Office	First_Year	Last_Year	No_of_Years
Billy Jack	3	$223,000,000	$1,247,956,316	$223,000,000	1967	1974	7
Iron Man	3	$1,040,029,729	$1,223,260,072	$2,421,720,208	2008	2013	5
Mary Poppins	2	$274,230,583	$1,173,785,575	$451,834,102	1964	2018	54
King Kong	6	$453,458,502	$1,111,360,749	$1,216,915,731	1933	2020	87
Alien	8	$591,630,347	$1,110,876,434	$1,648,542,927	1979	2017	38
Men in Black	5	$704,184,140	$1,087,370,156	$1,940,818,524	1997	2019	22
Terminator	6	$669,177,934	$1,079,869,666	$2,074,603,836	1984	2019	35
Finding Nemo	2	$866,824,931	$1,072,101,012	$1,965,000,259	2003	2016	13
Beverly Hills Cop	4	$431,012,375	$1,070,632,480	$712,145,974	1984	2011	27
Home Alone	5	$490,039,196	$1,059,275,216	$866,371,962	1990	2013	23
Lethal Weapon	4	$487,622,466	$1,059,196,096	$952,592,350	1987	1998	11
Bourne	5	$800,424,270	$1,050,357,628	$1,665,926,127	2002	2016	14
Ice Age	5	$793,676,582	$1,039,113,501	$3,179,639,301	2002	2016	14
Ghostbusters	4	$483,057,779	$1,014,646,830	$739,721,125	1984	2021	37
Cinderella	2	$85,000,000	$994,868,983	$263,591,415	1950	2007	57
The Incredibles	2	$870,022,836	$991,665,033	$1,874,246,451	2004	2018	14
Airport	4	$190,774,302	$990,713,247	$190,774,302	1970	1979	9
Back to the Future	3	$418,765,047	$984,628,869	$961,613,438	1985	1990	5
Jumanji	4	$849,844,012	$972,808,539	$2,081,508,133	1995	2019	24
Jack Ryan	5	$495,058,617	$957,998,127	$910,977,412	1990	2014	24
Matrix	3	$594,220,988	$943,073,177	$1,631,299,148	1999	2003	4
Teenage Mutant Ninja Turtles	6	$583,601,790	$926,554,360	$1,149,359,568	1990	2016	26
Frozen	3	$878,111,587	$925,846,206	$2,718,773,107	2013	2019	6
Jungle Book	2	$189,744,582	$925,674,588	$281,965,225	1967	2003	36
Captain America	3	$844,485,812	$922,359,159	$2,238,256,014	2011	2016	5
The Hobbit	3	$816,364,878	$918,336,838	$2,922,822,711	2012	2014	2
Avatar	5	$760,507,625	$899,243,135	$2,788,701,337	2009	2027	18
Pink Panther	11	$267,433,670	$898,966,099	$378,233,670	1964	2009	45
Die Hard	5	$500,565,220	$897,077,962	$1,431,562,382	1988	2013	25
Mummy	4	$550,464,904	$875,863,376	$1,423,076,742	1999	2008	9
Dirty Harry	5	$224,579,600	$857,982,853	$224,579,600	1971	1988	17
Meet the Parents	3	$593,831,215	$855,870,826	$1,157,643,189	2000	2010	10
Friday the 13th	12	$382,746,073	$847,682,323	$466,198,282	1980	2009	29
Madagascar	5	$673,512,794	$843,850,836	$2,270,104,142	2005	2019	14
National Lampoon	12	$269,614,312	$841,081,607	$287,550,376	1978	2009	31
Karate Kid	5	$430,055,661	$840,880,375	$612,338,981	1984	2010	26
Halloween	13	$467,782,306	$840,345,005	$618,690,596	1978	2020	42
The Sting	2	$165,963,399	$839,884,225	$165,963,399	1973	1983	10
Rush Hour	3	$507,477,118	$823,271,256	$849,311,714	1998	2007	9
Wizard of Oz	4	$280,075,700	$812,610,260	$535,905,826	1939	2013	74
Austin Powers	3	$473,041,863	$810,605,103	$676,406,139	1997	2002	5
Around the World in 80 Days	2	$66,004,159	$800,453,830	$114,004,159	1956	2004	48
Alvin and the Chipmunks	5	$655,935,962	$791,922,124	$1,404,694,725	2007	2015	8
Ocean's Eleven	4	$566,311,960	$772,548,980	$1,422,578,046	2001	2018	17
Muppets	8	$351,116,453	$768,453,425	$452,036,800	1979	2014	35
Guardians of the Galaxy	3	$722,985,213	$767,398,360	$1,641,885,213	2014	2019	5
Smokey and the Bandit	3	$199,870,054	$761,958,286	$199,870,054	1977	1983	6
Thor	3	$702,451,053	$759,105,391	$1,947,887,423	2011	2017	6
Hangover	3	$643,986,880	$754,908,304	$1,414,228,463	2009	2013	4
Saturday Night Fever	2	$203,327,598	$754,134,591	$408,441,474	1977	1983	6
Hannibal Lecter	5	$425,065,056	$752,161,620	$921,486,656	1986	2007	21
Monsters, Inc.	2	$557,911,754	$750,487,657	$1,303,346,048	2001	2013	12
Rambo	5	$338,917,404	$749,588,812	$817,962,398	1982	2019	37
Herbie	5	$193,352,588	$744,997,453	$271,452,588	1969	2005	36
Independence Day	2	$409,313,541	$739,670,562	$1,201,570,302	1996	2016	20
Cars	3	$588,434,972	$714,706,976	$1,405,347,998	2006	2017	11
Chronicles of Narnia	3	$537,719,397	$712,451,467	$1,556,067,810	2005	2010	5
Godfather	3	$258,786,940	$710,386,604	$392,320,529	1972	1990	18
Scary Movie	5	$461,023,680	$708,319,180	$830,913,702	2000	2013	13
Crocodile Dundee	3	$309,699,835	$707,025,906	$607,202,827	1986	2001	15
Deadpool	3	$687,662,444	$706,970,247	$1,571,706,150	2016	2018	2
The Conjuring	8	$672,572,612	$705,873,804	$1,905,364,983	2013	2020	7
Nightmare on Elm Street	9	$361,659,872	$701,256,107	$448,268,230	1984	2010	26
Grease	2	$196,110,853	$695,826,100	$401,807,262	1978	1982	4
Fantasia	2	$152,930,858	$693,182,606	$152,938,634	1940	1999	59
Hulk	3	$582,042,436	$690,649,707	$1,364,607,582	2003	2017	14
Night at the Museum	3	$541,853,610	$680,500,848	$1,335,434,091	2006	2014	8
Santa Clause	3	$368,559,333	$658,150,147	$470,125,976	1994	2006	12
Butch Cassidy and the Sundance Kid	2	$102,308,900	$656,362,026	$102,310,653	1969	1979	10
Madea	10	$555,578,144	$650,958,913	$558,593,220	2005	2019	14
Every Which Way But Loose	2	$174,956,071	$639,631,503	$174,956,071	1978	1980	2
American Pie	8	$408,010,808	$638,714,672	$884,447,474	1999	2012	13
Lego	11	$598,623,165	$631,950,889	$1,091,612,973	2014	2020	6
Godzilla	9	$462,370,508	$624,983,253	$1,376,960,447	1954	2020	66
American Graffiti	2	$123,100,000	$621,291,451	$148,100,000	1973	1979	6
Kung Fu Panda	4	$524,212,273	$614,343,691	$1,817,918,903	2008	2016	8
How to Train Your Dragon	3	$555,383,661	$609,392,479	$1,631,693,485	2010	2019	9
Police Academy	7	$239,379,689	$604,488,148	$239,379,689	1984	1994	10
Scream	4	$331,728,968	$602,539,709	$603,237,630	1996	2011	15
National Lampoon's Vacation	5	$277,474,199	$599,451,419	$320,896,511	1983	2015	32
Saw	8	$454,735,710	$597,979,789	$982,362,408	2004	2017	13
Wolverine	3	$538,717,077	$596,842,187	$1,406,744,006	2009	2017	8
Bad Boys	4	$408,606,138	$551,204,826	$832,855,737	1995	2020	25
Psycho	4	$78,481,606	$550,598,725	$78,481,606	1960	1993	33
The Secret Life of Pets	2	$527,258,725	$546,849,098	$1,321,045,927	2016	2019	3
Cheech & Chong	6	$160,716,246	$544,974,530	$160,716,246	1978	1984	6
It	2	$540,422,102	$544,186,173	$1,172,017,106	2017	2019	2
National Treasure	3	$392,966,503	$541,491,568	$788,649,214	2004	2007	3
Three Men and a Baby	2	$239,390,281	$536,488,739	$239,390,281	1987	1990	3
Spy Kids	4	$348,835,365	$529,085,195	$565,946,536	2001	2011	10
Hotel Transylvania	3	$485,513,250	$520,544,103	$1,375,067,108	2012	2018	6
Fugitive	2	$241,709,363	$516,953,254	$411,548,920	1993	1998	5
MonsterVerse	4	$479,229,019	$504,940,718	$1,473,448,043	2014	2020	6
Da Vinci Code	3	$385,255,558	$500,730,440	$1,478,215,672	2006	2016	10
Bruce Almighty	2	$342,994,685	$499,470,080	$658,599,937	2003	2007	4
Gremlins	2	$189,644,556	$491,267,809	$189,888,959	1984	1990	6
Porky's	3	$163,769,750	$489,564,896	$163,769,750	1982	1985	3
Predator	6	$313,156,619	$483,866,517	$741,185,941	1987	2018	31
Naked Gun	3	$216,014,096	$476,596,728	$216,014,096	1988	1994	6
Nutty Professor	2	$252,121,964	$473,907,776	$440,121,964	1996	2000	4
Alice in Wonderland	2	$411,233,491	$467,005,202	$1,302,419,222	2010	2016	6
Paranormal Activity	6	$401,360,355	$466,205,753	$890,417,130	2009	2015	6
Sherlock Holmes	3	$395,877,097	$464,114,152	$1,034,101,655	2009	2021	12
Doctor Dolittle	5	$257,107,326	$461,812,765	$470,258,326	1998	2009	11
Amityville	5	$169,327,766	$459,834,000	$220,971,236	1979	2017	38
Fantastic Four	3	$342,735,366	$455,182,152	$790,462,628	2005	2015	10
Jackass	6	$356,293,735	$451,665,364	$497,149,836	2002	2014	12
My Big Fat Greek Wedding	2	$301,127,813	$440,661,068	$466,986,592	2002	2016	14
Look Who's Talking	3	$196,875,385	$440,432,525	$353,886,572	1989	1993	4
Top Gun	2	$179,800,601	$433,527,354	$356,799,634	1986	2020	34
Sister Act	2	$196,924,179	$432,859,153	$288,919,029	1992	1993	1
Taken	3	$374,111,700	$432,629,828	$932,405,413	2008	2015	7
Honey I Shrunk the Kids	2	$189,386,624	$427,245,153	$281,362,452	1989	1992	3
Wonder Woman	2	$412,563,408	$419,002,525	$821,133,378	2017	2020	3
Wreck-It Ralph	2	$390,504,388	$417,608,161	$1,025,802,351	2012	2018	6
Unbreakable	3	$344,189,196	$411,510,170	$772,380,917	2000	2019	19
Ant-Man	3	$396,850,903	$411,386,778	$1,142,003,109	2015	2022	7
Dumb and Dumber	3	$239,598,230	$411,239,465	$429,246,448	1994	2014	20
Guns of Navarone	2	$36,000,000	$409,205,212	$36,019,576	1961	1978	17
Fantastic Beasts and Where to Find Them	3	$393,593,476	$405,612,520	$1,466,257,661	2016	2021	5
Pokemon	17	$293,126,288	$402,928,617	$1,096,127,032	1999	2019	20
300	2	$317,194,990	$397,723,733	$784,941,986	2007	2014	7
48 Hrs.	2	$155,983,678	$397,506,369	$228,683,678	1982	1990	8
Fifty Shades of Grey	3	$381,009,000	$396,198,793	$1,324,381,611	2015	2018	3
101 Dalmatians	2	$203,130,853	$392,047,647	$371,141,559	1996	2000	4
Ace Ventura	3	$180,577,459	$388,051,191	$319,617,396	1994	2009	15
Beauty and the Beast	2	$206,333,165	$387,837,197	$438,707,031	1991	2002	11
Maleficent	2	$355,336,933	$383,112,067	$1,247,917,175	2014	2019	5
Rugrats Movie	3	$216,398,695	$381,919,396	$299,622,530	1998	2003	5
Charlie's Angels	3	$243,921,179	$381,695,008	$560,117,832	2000	2019	19
Pitch Perfect	3	$354,194,853	$379,431,526	$589,406,227	2012	2017	5
The Divergent Series	3	$347,311,018	$378,698,746	$743,113,364	2014	2016	2
Texas Chainsaw Massacre	7	$194,821,820	$377,333,303	$246,541,552	1974	2013	39
Romancing the Stone	2	$143,354,024	$376,054,177	$183,354,024	1984	1985	1
Wayne's World	2	$169,662,323	$372,859,364	$231,062,323	1992	1993	1
21 Jump Street	2	$330,167,004	$372,227,138	$534,146,305	2012	2014	2
Omen	3	$93,041,885	$368,256,364	$93,048,431	1976	1981	5
Speed	2	$169,345,226	$366,188,730	$433,668,000	1994	1997	3
Final Destination	6	$263,362,372	$365,855,049	$657,627,377	2000	2011	11
City Slickers	2	$167,474,738	$365,392,972	$167,474,738	1991	1994	3
Mad Max	4	$223,217,405	$364,409,173	$530,593,920	1980	2015	35
Scooby-Doo	8	$237,479,551	$363,862,146	$457,151,160	2002	2020	18
Poltergeist	3	$129,816,684	$363,439,688	$176,816,684	1982	1988	6
Minions	2	$336,045,770	$363,152,668	$1,160,336,173	2015	2021	6
Airplane	2	$108,463,033	$359,188,096	$108,463,033	1980	1982	2
Father of the Bride	2	$165,904,691	$353,896,288	$165,904,691	1991	1995	4
Flintstones	2	$165,762,573	$351,002,597	$417,931,365	1994	2000	6
Resident Evil	7	$270,827,255	$349,560,547	$1,229,450,247	2002	2016	14
Man of Steel	1	$330,360,194	$347,928,482	$873,634,919	2016	2016	
Addams Family	2	$159,796,101	$347,683,241	$237,796,101	1991	1993	2
Stuart Little	3	$204,972,030	$346,690,124	$464,815,224	1999	2006	7
Odd Couple	2	$63,439,562	$346,387,098	$63,439,562	1968	1998	30
Blade	3	$204,216,153	$340,982,718	$416,929,454	1998	2004	6
Big Momma's House	3	$225,640,824	$339,842,000	$392,939,264	2000	2011	11
Ring	3	$232,828,769	$338,467,483	$493,077,496	2002	2017	15
Ted	2	$300,142,125	$338,305,517	$773,230,770	2012	2015	3
Grown Ups	2	$295,669,711	$336,831,883	$519,247,238	2010	2013	3
Terms of Endearment	2	$121,191,304	$327,852,201	$121,191,304	1983	1996	13
Cheaper by the Dozen	2	$221,185,717	$323,466,948	$325,227,443	2003	2005	2
Underworld	5	$252,766,892	$322,975,354	$539,817,686	2003	2016	13
G.I. Joe	4	$272,724,558	$319,736,886	$678,209,722	2000	2020	20
Blair Witch Project	3	$187,737,474	$318,568,145	$335,006,891	1999	2016	17
Oh, God!	3	$87,103,473	$316,111,899	$87,103,473	1977	1984	7
Princess Diaries	2	$203,394,209	$313,806,686	$287,406,209	2001	2004	3
John Wick	4	$306,082,706	$312,466,894	$573,290,843	2014	2020	6
Rio	2	$275,158,244	$311,663,321	$980,366,100	2011	2014	3
Lara Croft	2	$196,797,941	$310,270,230	$430,423,128	2001	2003	2
Benji	5	$79,063,152	$306,769,758	$79,063,152	1974	2004	30
xXx	4	$213,702,345	$306,337,133	$683,307,291	2002	2020	18
The Purge	4	$284,566,850	$304,775,560	$458,370,786	2013	2018	5
Grumpy Old Men	2	$141,691,124	$304,171,677	$141,691,124	1993	1995	2
Sex and the City	2	$247,994,950	$303,770,117	$709,928,036	2008	2010	2
Mamma Mia	2	$264,764,998	$303,507,481	$1,010,952,888	2008	2018	10
SpongeBob SquarePants	3	$248,410,641	$301,286,057	$453,064,436	2004	2020	16
Arthur	2	$96,145,678	$298,401,694	$96,145,678	1981	1988	7
Legally Blonde	3	$187,132,514	$292,245,748	$267,148,323	2001	2009	8
Mask	2	$136,938,551	$291,803,622	$411,538,551	1994	2005	11
Hancock	2	$227,946,274	$289,218,732	$624,234,272	2008	2020	12
The Smurfs	3	$258,652,224	$289,136,714	$1,109,875,432	2011	2017	6
Under Siege	2	$133,587,222	$288,235,800	$260,887,222	1992	1995	3
Cloudy with a Chance of Meatballs	2	$244,663,842	$285,861,069	$511,220,326	2009	2013	4
Clash of the Titans	2	$246,884,971	$284,210,264	$798,484,971	2010	2012	2
Tron	2	$198,981,339	$281,841,737	$426,981,339	1982	2010	28
French Connection	3	$53,944,428	$281,569,903	$54,856,531	1971	2008	37
Child's Play	8	$153,028,417	$280,019,631	$217,126,407	1988	2019	31
Insidious	4	$257,559,485	$279,883,925	$555,057,527	2011	2018	7
Annabelle	3	$260,518,605	$271,808,147	$790,764,898	2014	2019	5
Barbershop	3	$194,882,105	$271,153,839	$197,310,075	2002	2016	14
Step Up	5	$215,725,188	$270,191,631	$668,821,858	2006	2014	8
Basic Instinct	2	$123,673,360	$266,702,648	$388,117,162	1992	2006	14
Daddy’s Home	2	$254,386,580	$266,551,731	$418,564,320	2015	2017	2
Anchorman	2	$211,550,085	$266,097,343	$261,722,488	2004	2013	9
Cannonball Run	2	$85,598,710	$264,609,825	$85,598,710	1981	1984	3
Elf	2	$174,626,840	$261,854,770	$221,464,732	2003	2015	12
Shaft	5	$113,809,701	$260,740,299	$150,671,941	1971	2019	48
The Maze Runner	3	$242,157,497	$260,519,411	$924,764,559	2014	2018	4
Mighty Ducks	3	$119,292,816	$260,505,688	$119,292,816	1992	1996	4
The Expendables	4	$227,419,260	$260,164,810	$789,708,808	2010	2019	9
Paul Blart: Mall Cop	2	$217,427,772	$254,575,825	$293,555,396	2009	2015	6
Journey to the Center of the Earth	2	$205,564,660	$247,907,961	$561,327,099	2008	2012	4
Zorro	2	$139,404,081	$247,028,254	$375,175,336	1998	2005	7
RoboCop	3	$109,802,064	$246,627,268	$109,802,064	1987	1993	6
Fallen	3	$230,482,288	$245,732,123	$501,438,465	2013	2019	6
Ride Along	2	$225,065,250	$245,337,930	$278,561,116	2014	2016	2
Miss Congeniality	2	$155,285,673	$244,548,694	$314,803,347	2000	2005	5
Analyze This	2	$139,007,907	$241,969,116	$231,880,415	1999	2002	3
The Little Mermaid	2	$111,543,479	$241,772,713	$222,299,758	1989	2008	19
Beethoven	5	$109,616,418	$241,195,212	$109,616,418	1992	2014	22
Free Willy	3	$111,294,914	$240,948,259	$187,294,914	1993	1997	4
Kingsman	3	$228,496,562	$240,407,006	$813,365,420	2015	2020	5
Cocoon	2	$95,182,267	$238,039,518	$95,182,267	1985	1988	3
Grudge	4	$170,719,349	$237,554,880	$307,528,219	2004	2019	15
Bad News Bears	2	$56,349,782	$235,634,077	$56,349,782	1976	1978	2
Mulan	2	$120,620,254	$234,296,482	$303,500,000	1998	2005	7
Hot Shots	2	$106,886,158	$232,703,435	$309,716,011	1991	1993	2
Get Shorty	2	$127,870,409	$230,106,329	$209,965,025	1995	2005	10
Lilo and Stitch	2	$145,771,527	$228,567,741	$245,800,000	2002	2005	3
Snow White and the Huntsman	2	$203,139,770	$228,105,500	$566,171,048	2012	2016	4
Flint	2	$27,000,000	$227,825,157	$27,000,000	1965	1967	2
Eddie Felson	2	$59,893,000	$227,814,289	$59,893,000	1961	1986	25
World War Z	1	$202,359,711	$226,752,391	$531,514,650	2013	2013	
Neighbors	2	$205,427,530	$225,638,748	$379,702,049	2014	2016	2
Garry Marshall's Holiday Franchise	3	$197,523,151	$224,419,849	$416,786,623	2010	2016	6
Road To …	2	$7,700,000	$223,954,164	$7,700,000	1940	1947	7
Thomas Crown Affair	3	$83,304,264	$221,640,333	$138,304,264	1968	2012	44
Blues Brothers	2	$71,319,088	$221,183,011	$71,319,088	1980	1998	18
I Know What You Did Last Summer	3	$112,270,713	$220,936,002	$165,270,713	1997	2006	9
Mortal Kombat	3	$106,360,633	$218,773,498	$173,460,633	1995	2020	25
Death Wish	5	$62,808,612	$218,275,564	$62,808,612	1974	1994	20
The Equalizer	2	$203,615,100	$215,291,007	$383,279,805	2014	2018	4
Conan	3	$85,959,106	$214,608,916	$168,870,218	1982	2011	29
The Red Curtain Trilogy	3	$115,463,097	$213,572,134	$338,480,969	1993	2001	8
Sony’s Marvel Universe	2	$213,511,408	$213,511,408	$853,628,605	2018	2021	3
Ghost Rider	2	$167,576,598	$212,591,352	$378,762,944	2007	2012	5
Diary of a Wimpy Kid	4	$186,449,546	$211,591,902	$263,488,777	2010	2017	7
The Croods	2	$187,168,425	$209,729,928	$573,068,425	2013	2020	7
Crouching Tiger, Hidden Dragon	2	$128,067,808	$207,214,821	$251,967,653	2000	2016	16
The Hunchback of Notre Dame	1	$100,138,851	$206,394,775	$325,500,000	1996	1996	
Friday	4	$117,897,755	$206,265,122	$121,138,920	1995	2019	24
Hellboy	3	$157,514,209	$205,783,259	$300,998,501	2004	2019	15
Ernest	5	$92,317,836	$205,078,270	$92,317,836	1987	1993	6
Kill Bill	2	$136,306,058	$203,009,681	$330,005,410	2003	2004	1
Magic Mike	2	$179,734,628	$201,489,140	$294,210,350	2012	2015	3
Cats and Dogs	2	$136,960,904	$200,616,347	$313,726,383	2001	2010	9
Now You See Me	3	$182,799,529	$200,450,773	$671,094,207	2013	2020	7
Bridget Jones	3	$135,843,381	$199,469,071	$751,244,397	2001	2016	15
Riddick	3	$138,972,974	$198,068,691	$255,158,597	2000	2013	13
Kindergarten Cop	1	$91,457,688	$197,661,856	$202,000,000	1990	1990	
Stakeout	2	$85,780,737	$197,259,814	$85,780,737	1987	1993	6
Fletch	2	$79,966,859	$195,796,556	$79,966,859	1985	1989	4
Horrible Bosses	2	$171,983,916	$195,690,571	$318,362,958	2011	2014	3
Young Guns	2	$88,870,054	$194,433,983	$88,870,054	1988	1990	2
Bad Moms	2	$185,367,956	$192,512,939	$308,709,266	2016	2017	1
Purple Rain	2	$72,955,755	$190,219,569	$72,955,755	1984	1990	6
X-Files	2	$104,880,791	$189,589,276	$257,347,215	1998	2008	10
Blade Runner	2	$124,710,487	$189,538,488	$298,700,320	1982	2017	35
Major League	3	$83,970,444	$188,969,332	$83,970,444	1989	1998	9
A Quiet Place	2	$188,024,361	$188,024,361	$336,157,526	2018	2020	2
Shanghai Noon	2	$117,402,525	$187,582,252	$159,506,670	2000	2003	3
Are We There Yet?	2	$132,336,931	$183,257,780	$156,502,539	2005	2007	2
The Shining	2	$76,150,343	$180,651,703	$117,152,412	1980	2019	39
Percy Jackson	2	$157,327,857	$179,317,769	$423,910,428	2010	2013	3
The Heat	2	$159,581,587	$178,817,739	$229,727,774	2013	2016	3
The Boss Baby	2	$175,003,033	$177,734,406	$527,965,936	2017	2021	4
Untouchables	2	$76,270,454	$177,704,297	$76,270,454	1987	2010	23
Cloverfield	3	$152,131,432	$177,481,940	$279,588,648	2008	2018	10
Think Like a Man	2	$156,575,892	$177,283,807	$183,401,697	2012	2014	2
Anaconda	5	$97,125,300	$176,446,242	$207,325,300	1997	2009	12
View Askewniverse	8	$106,636,675	$176,393,859	$130,921,720	1994	2019	25
Meatballs	3	$50,558,200	$175,741,420	$50,558,200	1979	1987	8
Daddy Day Care	2	$117,384,048	$174,871,014	$182,495,459	2003	2007	4
Pacific Rim	2	$161,677,431	$173,948,873	$701,933,054	2013	2018	5
Bill & Ted	2	$78,022,714	$173,663,365	$78,022,714	1989	1991	2
AVP	2	$122,078,162	$172,490,288	$301,428,013	2004	2007	3
2001	2	$100,936,321	$169,807,048	$112,923,560	1968	1984	16
Problem Child	2	$78,575,591	$169,755,175	$97,375,595	1990	1991	1
Pet Sematary	2	$74,561,632	$168,735,110	$74,561,632	1989	1992	3
Backdraft	2	$77,868,585	$168,499,471	$152,368,585	1991	2019	28
Babe	2	$81,978,770	$168,349,630	$315,231,860	1995	1998	3
Dirty Dancing	2	$78,032,904	$168,039,043	$228,157,094	1987	2004	17
Planes	2	$149,440,312	$167,129,472	$394,459,213	2013	2014	1
Power Rangers	5	$123,149,648	$165,828,538	$182,149,496	1995	2017	22
Black Stallion	2	$47,651,322	$165,684,800	$47,651,322	1979	1983	4
Knives Out	2	$165,363,254	$165,363,254	$305,677,305	2019	2019	
Zombieland	2	$148,708,416	$164,935,123	$224,502,614	2009	2019	10
RED	2	$143,642,722	$164,033,084	$337,947,048	2010	2013	3
Revenge of the Nerds	4	$63,516,485	$163,577,484	$63,516,485	1984	1994	10
Species	2	$79,272,014	$163,097,979	$140,172,014	1995	1998	3
My Girl	2	$74,570,585	$162,504,653	$74,570,585	1991	1994	3
Wall Street	2	$96,322,716	$161,460,748	$181,279,719	1987	2010	23
Caddyshack	2	$51,644,646	$161,095,774	$51,648,066	1980	1988	8
Italian Job	1	$106,126,012	$160,332,994	$176,262,839	2003	2003	
American Tail	2	$67,701,666	$159,766,835	$67,701,666	1986	1991	5
Homeward Bound	2	$74,542,747	$159,470,440	$74,542,747	1993	1996	3
A Fish Called Wanda	2	$72,747,184	$159,102,324	$72,747,184	1988	1997	9
Transporter	4	$116,137,035	$158,475,136	$315,536,842	2002	2015	13
Gnomeo and Juliet	2	$143,210,541	$158,085,930	$281,265,628	2011	2018	7
American Werewolf	2	$58,543,712	$157,237,743	$88,543,712	1981	1997	16
The Angry Birds Movie	2	$149,166,442	$154,883,699	$502,788,857	2016	2019	3
Jack Reacher	2	$138,767,812	$153,084,759	$377,317,225	2012	2016	4
Garfield	3	$103,794,440	$150,100,596	$366,998,428	2004	2009	5
Crow	3	$68,535,746	$149,955,501	$68,535,746	1994	2005	11
Flatliners	2	$78,191,268	$149,496,685	$106,481,891	1990	2017	27
Peanuts	10	$132,191,604	$147,443,665	$252,104,803	1966	2015	49
Deuce Bigelow	2	$87,935,221	$147,381,580	$138,208,531	1999	2005	6
Save the Last Dance	1	$91,038,276	$146,529,804	$122,244,329	2001	2001	
Short Circuit	2	$61,579,761	$146,220,274	$61,579,761	1986	1988	2
Sonic The Hedgehog	1	$146,066,470	$146,066,470	$306,352,464	2020	2020	
Safe House	1	$126,181,630	$144,411,383	$208,542,162	2012	2012	
The Fox and the Hound	2	$43,899,231	$143,856,830	$43,899,231	1981	2006	25
El Mariachi	3	$83,903,965	$143,065,472	$124,987,843	1993	2003	10
Carrie	2	$43,638,397	$142,530,304	$43,638,397	1976	1999	23
Why Did I Get Married	3	$115,300,377	$142,486,084	$116,765,245	2006	2010	4
Scorpion King	3	$90,580,000	$142,028,189	$165,890,634	2002	2018	16
House Party	3	$65,018,837	$141,882,074	$65,018,837	1990	1994	4
Brady Bunch	2	$67,989,371	$141,675,722	$67,989,371	1995	1996	1
Ripley	2	$81,292,135	$141,499,326	$128,899,084	1999	2003	4
The Best Man	3	$104,627,975	$140,099,483	$107,408,490	1999	2016	17
Chinatown	3	$35,099,705	$138,598,092	$35,099,705	1974	1994	20
Pee Wee	3	$56,062,986	$138,581,111	$56,062,986	1985	2016	31
Breakin'	2	$51,100,000	$137,872,890	$51,100,000	1984	1984	
Winnie the Pooh	6	$86,744,277	$137,600,254	$214,705,178	1977	2008	31
