Franchise	Rank	Release	Lifetime_Gross	Max_Theaters	Opening_Gross	Open_Theaters	Release_Date	Distributor
Star Wars	12	Star Wars: Episode IV - A New Hope1997 Special Edition	$138,257,865	2,375	$35,906,661	2,104	Jan 31, 1997	Twentieth Century Fox
Star Wars	13	Star Wars: Episode V - The Empire Strikes Back1997 Special Edition	$67,597,694	2,322	$21,975,993	2,111	Feb 21, 1997	Twentieth Century Fox
Star Wars	14	Star Wars: Episode VI - Return of the Jedi1997 Special Edition	$45,470,437	2,111	$16,293,531	2,111	Mar 14, 1997	Twentieth Century Fox
Star Wars	15	Star Wars: Episode I - The Phantom Menace2012 3D Release	$43,456,382	2,655	$22,469,932	2,655	Feb 10, 2012	Twentieth Century Fox
Star Wars	16	Star Wars: The Clone Wars	$35,161,554	3,452	$14,611,273	3,452	Aug 15, 2008	Warner Bros.
Star Wars	17	Star Wars: Episode IV - A New Hope1982 Re-release	$15,476,785	1,070	$3,766,803	1,070	Aug 13, 1982	Twentieth Century Fox
Star Wars	18	Star Wars: Episode V - The Empire Strikes Back1982 Re-release	$13,276,241	1,006	$3,949,478	992	Nov 19, 1982	Twentieth Century Fox
Star Wars	19	Star Wars: Episode VI - Return of the Jedi1985 Re-release	$11,252,123	894	$3,209,056	849	Mar 29, 1985	Twentieth Century Fox
Star Wars	20	Star Wars: Episode II - Attack of the Clones2002 IMAX Release	$8,485,488	58	$1,435,259	58	Nov 1, 2002	Twentieth Century Fox
Star Wars	-	Untitled Star Wars Film	-	-	-	-	Dec 20, 2024	Walt Disney Studios Motion Pictures
Star Wars	-	Untitled Star Wars Film	-	-	-	-	Dec 18, 2026	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	1	The Lion King	$543,638,043	4,802	$191,770,759	4,725	Jul 19, 2019	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	2	Beauty and the Beast	$504,014,165	4,210	$174,750,616	4,210	Mar 17, 2017	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	3	The Jungle Book	$364,001,123	4,144	$103,261,464	4,028	Apr 15, 2016	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	4	Aladdin	$355,559,216	4,476	$91,500,929	4,476	May 24, 2019	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	5	Alice in Wonderland	$334,191,110	3,739	$116,101,023	3,728	Mar 5, 2010	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	6	Maleficent	$241,410,378	3,948	$69,431,298	3,948	May 30, 2014	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	7	Oz the Great and Powerful	$234,911,825	3,912	$79,110,453	3,912	Mar 8, 2013	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	8	Cinderella	$201,151,353	3,848	$67,877,361	3,845	Mar 13, 2015	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	9	101 Dalmatians	$136,189,294	2,901	$33,504,025	2,794	Nov 27, 1996	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	10	Dumbo	$114,766,307	4,259	$45,990,748	4,259	Mar 29, 2019	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	11	Maleficent: Mistress of Evil	$113,929,605	3,820	$36,948,713	3,790	Oct 18, 2019	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	12	Alice Through the Looking Glass	$77,041,381	3,763	$26,858,726	3,763	May 27, 2016	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	13	Pete's Dragon	$76,233,151	3,702	$21,514,095	3,702	Aug 12, 2016	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	14	102 Dalmatians	$66,957,026	2,704	$19,883,351	2,704	Nov 22, 2000	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	15	The Jungle Book	$43,229,904	2,012	$5,129,959	1,880	Dec 25, 1994	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	-	Cruella	-	-	-	-	May 28, 2021	Walt Disney Studios Motion Pictures
Disney Live Action Reimaginings	-	Mulan	-	-	-	-	Jul 24, 2020	Walt Disney Studios Motion Pictures
J.K. Rowling's Wizarding World	1	Harry Potter and the Deathly Hallows: Part 2	$381,011,219	4,375	$169,189,427	4,375	Jul 15, 2011	Warner Bros.
J.K. Rowling's Wizarding World	2	Harry Potter and the Sorcerer's Stone	$317,575,550	3,672	$90,294,621	3,672	Nov 16, 2001	Warner Bros.
J.K. Rowling's Wizarding World	3	Harry Potter and the Half-Blood Prince	$301,959,197	4,455	$77,835,727	4,325	Jul 15, 2009	Warner Bros.
J.K. Rowling's Wizarding World	4	Harry Potter and the Deathly Hallows: Part 1	$295,983,305	4,125	$125,017,372	4,125	Nov 19, 2010	Warner Bros.
J.K. Rowling's Wizarding World	5	Harry Potter and the Order of the Phoenix	$292,004,738	4,285	$77,108,414	4,285	Jul 11, 2007	Warner Bros.
J.K. Rowling's Wizarding World	6	Harry Potter and the Goblet of Fire	$290,013,036	3,858	$102,685,961	3,858	Nov 18, 2005	Warner Bros.
J.K. Rowling's Wizarding World	7	Harry Potter and the Chamber of Secrets	$261,988,482	3,682	$88,357,488	3,682	Nov 15, 2002	Warner Bros.
J.K. Rowling's Wizarding World	8	Harry Potter and the Prisoner of Azkaban	$249,541,069	3,855	$93,687,367	3,855	Jun 4, 2004	Warner Bros.
J.K. Rowling's Wizarding World	9	Fantastic Beasts and Where to Find Them	$234,037,575	4,144	$74,403,387	4,144	Nov 18, 2016	Warner Bros.
J.K. Rowling's Wizarding World	10	Fantastic Beasts: The Crimes of Grindelwald	$159,555,901	4,163	$62,163,104	4,163	Nov 16, 2018	Warner Bros.
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	11	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
J.K. Rowling's Wizarding World	19	Harry Potter and the Sorcerer's Stone2018 Re-release	$295,917	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	20	Harry Potter and the Chamber of Secrets2018 Re-release	$245,501	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	21	Harry Potter and the Prisoner of Azkaban2018 Re-release	$218,774	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	22	Harry Potter and the Goblet of Fire2018 Re-release	$188,716	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	23	Harry Potter and the Deathly Hallows: Part 22018 Re-release	$181,938	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	24	Harry Potter and the Deathly Hallows: Part 12018 Re-release	$148,263	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	25	Harry Potter and the Order of the Phoenix2018 Re-release	$132,522	-	-	-	Sep 2, 2018	Warner Bros.
J.K. Rowling's Wizarding World	26	Harry Potter and the Half-Blood Prince2018 Re-release	$130,081	-	-	-	Sep 2, 2018	Warner Bros.
Avengers	1	Avengers: Endgame	$858,373,000	4,662	$357,115,007	4,662	Apr 26, 2019	Walt Disney Studios Motion Pictures
Avengers	2	Avengers: Infinity War	$678,815,482	4,474	$257,698,183	4,474	Apr 27, 2018	Walt Disney Studios Motion Pictures
Avengers	3	The Avengers	$623,357,910	4,349	$207,438,708	4,349	May 4, 2012	Walt Disney Studios Motion Pictures
Avengers	4	Avengers: Age of Ultron	$459,005,868	4,276	$191,271,109	4,276	May 1, 2015	Walt Disney Studios Motion Pictures
Spider-Man	1	Spider-Man	$403,706,375	3,876	$114,844,116	3,615	May 3, 2002	Sony Pictures Releasing
Spider-Man	2	Spider-Man: Far from Home	$390,532,085	4,634	$92,579,212	4,634	Jul 2, 2019	Sony Pictures Releasing
Spider-Man	3	Spider-Man 2	$373,585,825	4,166	$88,156,227	4,152	Jun 30, 2004	Sony Pictures Releasing
Spider-Man	4	Spider-Man 3	$336,530,303	4,324	$151,116,516	4,252	May 4, 2007	Sony Pictures Releasing
Spider-Man	5	Spider-Man: Homecoming	$334,201,140	4,348	$117,027,503	4,348	Jul 7, 2017	Sony Pictures Releasing
Spider-Man	6	The Amazing Spider-Man	$262,030,663	4,318	$62,004,688	4,318	Jul 3, 2012	Sony Pictures Releasing
Spider-Man	7	The Amazing Spider-Man 2	$202,853,933	4,324	$91,608,337	4,324	May 2, 2014	Sony Pictures Releasing
Spider-Man	8	Spider-Man: Into the Spider-Verse	$190,241,310	3,813	$35,363,376	3,813	Dec 14, 2018	Sony Pictures Releasing
Spider-Man	9	Spider-Man/Men in Black IIDouble Bill	$6,632,970	2,078	$2,111,862	2,078	Sep 6, 2002	Sony Pictures Releasing
Spider-Man	-	Untitled Spider-Man Sequel	-	-	-	-	Jul 16, 2021	Sony Pictures Releasing
X-Men	1	Deadpool	$363,070,709	3,856	$132,434,639	3,558	Feb 12, 2016	Twentieth Century Fox
X-Men	2	Deadpool 2	$318,491,426	4,349	$125,507,153	4,349	May 18, 2018	Twentieth Century Fox
X-Men	3	X-Men: The Last Stand	$234,362,462	3,714	$102,750,665	3,690	May 26, 2006	Twentieth Century Fox
X-Men	4	X-Men: Days of Future Past	$233,921,534	4,001	$90,823,660	3,996	May 23, 2014	Twentieth Century Fox
X-Men	5	Logan	$226,277,068	4,071	$88,411,916	4,071	Mar 3, 2017	Twentieth Century Fox
X-Men	6	X2: X-Men United	$214,949,694	3,749	$85,558,731	3,741	May 2, 2003	Twentieth Century Fox
X-Men	7	X-Men Origins: Wolverine	$179,883,157	4,102	$85,058,003	4,099	May 1, 2009	Twentieth Century Fox
X-Men	8	X-Men	$157,299,718	3,112	$54,471,475	3,025	Jul 14, 2000	Twentieth Century Fox
X-Men	9	X-Men: Apocalypse	$155,442,489	4,153	$65,769,562	4,150	May 27, 2016	Twentieth Century Fox
X-Men	10	X-Men: First Class	$146,408,305	3,692	$55,101,604	3,641	Jun 3, 2011	Twentieth Century Fox
X-Men	11	The Wolverine	$132,556,852	3,924	$53,113,752	3,924	Jul 26, 2013	Twentieth Century Fox
X-Men	12	X-Men: Dark Phoenix	$65,845,974	3,721	$32,828,348	3,721	Jun 7, 2019	Twentieth Century Fox
X-Men	13	Once Upon a Deadpool2018 Re-release	$6,100,309	1,566	$2,683,200	1,566	Dec 12, 2018	Twentieth Century Fox
Batman	1	The Dark Knight	$533,345,358	4,366	$158,411,483	4,366	Jul 18, 2008	Warner Bros.
Batman	2	The Dark Knight Rises	$448,139,099	4,404	$160,887,295	4,404	Jul 20, 2012	Warner Bros.
Batman	3	Batman v Superman: Dawn of Justice	$330,360,194	4,256	$166,007,347	4,242	Mar 25, 2016	Warner Bros.
Batman	4	Batman	$251,188,924	2,201	$40,489,746	2,194	Jun 23, 1989	Warner Bros.
Batman	5	Batman Begins	$205,343,774	3,858	$48,745,440	3,858	Jun 15, 2005	Warner Bros.
Batman	6	Batman Forever	$184,031,112	2,893	$52,784,433	2,842	Jun 16, 1995	Warner Bros.
Batman	7	The Lego Batman Movie	$175,750,384	4,088	$53,003,468	4,088	Feb 10, 2017	Warner Bros.
Batman	8	Batman Returns	$162,831,698	2,644	$45,687,711	2,644	Jun 19, 1992	Warner Bros.
Batman	9	Batman & Robin	$107,325,195	2,942	$42,872,605	2,934	Jun 20, 1997	Warner Bros.
Batman	10	Batman: Mask of the Phantasm	$5,617,391	1,506	$1,189,975	1,506	Dec 25, 1993	Warner Bros.
Batman	11	Batman: The Killing Joke	$3,775,000	1,325	-	-	Jul 25, 2016	Fathom Events
Batman	12	The Dark Knight2012 Re-release	$1,513,086	-	-	-	Jul 19, 2012	Warner Bros.
Batman	13	Batman Begins2012 Re-release	$1,508,658	-	-	-	Jul 19, 2012	Warner Bros.
Batman	14	The Dark Knight2018 Re-release	$375,589	-	-	-	Aug 24, 2018	Warner Bros.
Batman	15	Batman2019 Re-release	$159,419	489	$159,419	489	May 4, 2019	Fathom Events
Batman	16	Batman Returns2019 Re-release	$70,642	507	-	-	May 6, 2019	Fathom Events
Batman	17	Batman Forever2019 Re-release	$38,014	434	$38,014	434	May 12, 2019	Fathom Events
Batman	18	Batman & Robin2019 Re-release	$28,597	429	-	-	May 14, 2019	Fathom Events
Batman	19	Batman: Mask of the Phantasm2018 Re-release	$17,813	761	-	-	Nov 12, 2018	Fathom Events
Harry Potter	1	Harry Potter and the Deathly Hallows: Part 2	$381,011,219	4,375	$169,189,427	4,375	Jul 15, 2011	Warner Bros.
Harry Potter	2	Harry Potter and the Sorcerer's Stone	$317,575,550	3,672	$90,294,621	3,672	Nov 16, 2001	Warner Bros.
Harry Potter	3	Harry Potter and the Half-Blood Prince	$301,959,197	4,455	$77,835,727	4,325	Jul 15, 2009	Warner Bros.
Harry Potter	4	Harry Potter and the Deathly Hallows: Part 1	$295,983,305	4,125	$125,017,372	4,125	Nov 19, 2010	Warner Bros.
Harry Potter	5	Harry Potter and the Order of the Phoenix	$292,004,738	4,285	$77,108,414	4,285	Jul 11, 2007	Warner Bros.
Harry Potter	6	Harry Potter and the Goblet of Fire	$290,013,036	3,858	$102,685,961	3,858	Nov 18, 2005	Warner Bros.
Harry Potter	7	Harry Potter and the Chamber of Secrets	$261,988,482	3,682	$88,357,488	3,682	Nov 15, 2002	Warner Bros.
Harry Potter	8	Harry Potter and the Prisoner of Azkaban	$249,541,069	3,855	$93,687,367	3,855	Jun 4, 2004	Warner Bros.
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	9	Harry Potter IMAX Marathon	$1,729,226	330	$1,357,376	330	Oct 14, 2016	IMAX
Harry Potter	17	Harry Potter and the Sorcerer's Stone2018 Re-release	$295,917	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	18	Harry Potter and the Chamber of Secrets2018 Re-release	$245,501	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	19	Harry Potter and the Prisoner of Azkaban2018 Re-release	$218,774	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	20	Harry Potter and the Goblet of Fire2018 Re-release	$188,716	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	21	Harry Potter and the Deathly Hallows: Part 22018 Re-release	$181,938	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	22	Harry Potter and the Deathly Hallows: Part 12018 Re-release	$148,263	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	23	Harry Potter and the Order of the Phoenix2018 Re-release	$132,522	-	-	-	Sep 2, 2018	Warner Bros.
Harry Potter	24	Harry Potter and the Half-Blood Prince2018 Re-release	$130,081	-	-	-	Sep 2, 2018	Warner Bros.
DC Extended Universe	1	Wonder Woman	$412,563,408	4,165	$103,251,471	4,165	Jun 2, 2017	Warner Bros.
DC Extended Universe	2	Aquaman	$335,061,807	4,184	$67,873,522	4,125	Dec 21, 2018	Warner Bros.
DC Extended Universe	3	Batman v Superman: Dawn of Justice	$330,360,194	4,256	$166,007,347	4,242	Mar 25, 2016	Warner Bros.
DC Extended Universe	4	Suicide Squad	$325,100,054	4,255	$133,682,248	4,255	Aug 5, 2016	Warner Bros.
DC Extended Universe	5	Man of Steel	$291,045,518	4,207	$116,619,362	4,207	Jun 14, 2013	Warner Bros.
DC Extended Universe	6	Justice League	$229,024,295	4,051	$93,842,239	4,051	Nov 17, 2017	Warner Bros.
DC Extended Universe	7	Shazam!	$140,371,656	4,306	$53,505,326	4,217	Apr 5, 2019	Warner Bros.
DC Extended Universe	8	Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn	$84,158,461	4,236	$33,010,017	4,236	Feb 7, 2020	Warner Bros.
DC Extended Universe	-	Wonder Woman 1984	-	-	-	-	Aug 14, 2020	Warner Bros.
DC Extended Universe	-	Aquaman 2	-	-	-	-	Dec 16, 2022	Warner Bros.
DC Extended Universe	-	The Suicide Squad	-	-	-	-	Aug 6, 2021	Warner Bros.
DC Extended Universe	-	Black Adam	-	-	-	-	Dec 22, 2021	Warner Bros.
DC Extended Universe	-	Untitled Shazam! Sequel	-	-	-	-	Nov 4, 2022	Warner Bros.
James Bond	1	Skyfall	$304,360,277	3,526	$88,364,714	3,505	Nov 9, 2012	Sony Pictures Releasing
James Bond	2	Spectre	$200,074,609	3,929	$70,403,148	3,929	Nov 6, 2015	Sony Pictures Releasing
James Bond	3	Quantum of Solace	$168,368,427	3,501	$67,528,882	3,451	Nov 14, 2008	Sony Pictures Releasing
James Bond	4	Casino Royale	$167,445,960	3,443	$40,833,156	3,434	Nov 17, 2006	Sony Pictures Releasing
James Bond	5	Die Another Day	$160,942,139	3,377	$47,072,040	3,314	Nov 22, 2002	Metro-Goldwyn-Mayer (MGM)
James Bond	6	The World Is Not Enough	$126,943,684	3,163	$35,519,007	3,163	Nov 19, 1999	Metro-Goldwyn-Mayer (MGM)
James Bond	7	Tomorrow Never Dies	$125,304,276	2,807	$25,143,007	2,807	Dec 19, 1997	Metro-Goldwyn-Mayer (MGM)
James Bond	8	GoldenEye	$106,429,941	2,667	$26,205,007	2,667	Nov 17, 1995	Metro-Goldwyn-Mayer (MGM)
James Bond	9	Moonraker	$70,308,099	788	$7,108,344	788	Jun 29, 1979	Metro-Goldwyn-Mayer (MGM)
James Bond	10	Octopussy	$67,893,619	1,339	$8,902,564	1,311	Jun 10, 1983	Metro-Goldwyn-Mayer (MGM)
James Bond	11	Thunderball	$63,595,658	-	-	-	Dec 21, 1965	United Artists
James Bond	12	Never Say Never Again	$55,432,841	1,560	$10,958,157	1,550	Oct 7, 1983	Warner Bros.
James Bond	13	For Your Eyes Only	$54,812,802	952	$6,834,967	952	Jun 26, 1981	Metro-Goldwyn-Mayer (MGM)
James Bond	14	The Living Daylights	$51,185,897	1,728	$11,051,284	1,728	Jul 31, 1987	United Artists
James Bond	15	Goldfinger	$51,081,062	-	-	-	Dec 22, 1964	United Artists
James Bond	16	A View to a Kill	$50,327,960	1,588	$10,687,114	1,583	May 24, 1985	Metro-Goldwyn-Mayer (MGM)
James Bond	17	The Spy Who Loved Me	$46,838,673	200	-	200	Jul 13, 1977	United Artists
James Bond	18	Diamonds Are Forever	$43,819,547	-	-	-	Dec 17, 1971	United Artists
James Bond	19	You Only Live Twice	$43,084,787	-	-	-	Jun 13, 1967	United Artists
James Bond	20	Live and Let Die	$35,377,836	-	-	-	Jun 27, 1973	United Artists
James Bond	21	Licence to Kill	$34,667,015	1,587	$8,774,776	1,575	Jul 14, 1989	United Artists
James Bond	22	From Russia with Love	$24,796,765	-	-	-	Apr 8, 1964	United Artists
James Bond	23	On Her Majesty's Secret Service	$22,774,493	-	-	-	Dec 18, 1969	United Artists
James Bond	24	The Man with the Golden Gun	$20,972,000	-	-	-	Dec 18, 1974	United Artists
James Bond	25	Dr. No	$16,067,035	-	-	-	May 8, 1963	United Artists
James Bond	-	No Time to Die	-	-	-	-	Nov 25, 2020	Metro-Goldwyn-Mayer (MGM)
Jurassic Park	1	Jurassic World	$652,270,625	4,291	$208,806,270	4,274	Jun 12, 2015	Universal Pictures
Jurassic Park	2	Jurassic World: Fallen Kingdom	$417,719,760	4,485	$148,024,610	4,475	Jun 22, 2018	Universal Pictures
Jurassic Park	3	Jurassic Park	$357,067,947	2,566	$47,026,828	2,404	Jun 11, 1993	Universal Pictures
Jurassic Park	4	The Lost World: Jurassic Park	$229,086,679	3,565	$72,132,785	3,281	May 23, 1997	Universal Pictures
Jurassic Park	5	Jurassic Park III	$181,171,875	3,462	$50,771,645	3,434	Jul 18, 2001	Universal Pictures
Jurassic Park	6	Jurassic Park2013 Re-release	$45,385,935	2,778	$18,620,145	2,771	Apr 5, 2013	Universal Pictures
Jurassic Park	7	Jurassic Park2018 Re-release	$374,238	532	$213,743	532	Sep 16, 2018	Fathom Events
Jurassic Park	-	Jurassic World: Dominion	-	-	-	-	Jun 11, 2021	Universal Pictures
